date,dau,new_signups,asks_created,posts_created,cci,top_creator_content,total_content,unique_creators,creator_active,network_nodes,network_edges,network_isolated
2026-04-01,2,1,0,1,0.5714,4,7,4,1,105,490,3
2026-04-02,114,111,16,21,0.0667,8,120,54,1,136,525,85
2026-04-03,106,66,25,44,0.2661,29,109,39,1,154,561,134
2026-04-04,83,46,18,38,0.1667,13,78,28,1,166,582,165
2026-04-05,75,23,15,13,0.1667,5,30,14,1,179,600,175
2026-04-06,41,9,1,8,0.3529,6,17,7,1,182,605,181
2026-04-07,35,8,4,8,0.2609,6,23,9,1,186,614,185
2026-04-08,30,4,2,9,0.5455,6,11,4,1,189,621,186
2026-04-09,24,4,1,6,1.0000,2,2,1,1,189,625,190
2026-04-10,19,3,0,1,0.3750,3,8,5,1,190,626,192
2026-04-11,27,8,9,2,0.6154,8,13,4,1,195,631,195
2026-04-12,22,2,0,2,0.5000,2,4,3,1,195,631,197
2026-04-13,15,2,1,0,1.0000,1,1,1,1,196,633,198
2026-04-14,24,2,0,1,0.5833,7,12,3,1,198,637,199
2026-04-15,13,4,1,6,0.6471,11,17,3,1,200,640,200
2026-04-16,7,0,0,0,0.0000,0,0,0,0,0,0,0
