author_id,username,asks,posts,total,share,days_active
creator_001,user_001,22,42,64,0.1416,6
creator_002,user_002,5,19,24,0.0531,4
creator_003,user_003,8,8,16,0.0354,6
creator_004,user_004,1,12,13,0.0288,3
creator_005,user_005,2,8,10,0.0221,4
creator_006,user_006,2,7,9,0.0199,4
creator_007,user_007,6,2,8,0.0177,2
creator_008,user_008,3,5,8,0.0177,1
creator_009,user_009,0,7,7,0.0155,1
creator_010,user_010,0,6,6,0.0133,2
creator_011,user_011,2,4,6,0.0133,3
creator_012,user_012,2,4,6,0.0133,4
creator_013,user_013,3,3,6,0.0133,2
creator_014,user_014,0,5,5,0.0111,2
creator_015,user_015,2,3,5,0.0111,2
creator_016,user_016,0,5,5,0.0111,1
creator_017,user_017,0,5,5,0.0111,4
creator_018,user_018,2,3,5,0.0111,2
creator_019,user_019,1,4,5,0.0111,2
creator_020,user_020,0,5,5,0.0111,1
creator_021,user_021,2,3,5,0.0111,2
creator_022,user_022,3,2,5,0.0111,1
creator_023,user_023,0,5,5,0.0111,2
creator_024,user_024,0,5,5,0.0111,2
creator_025,user_025,1,3,4,0.0088,1
creator_026,user_026,0,4,4,0.0088,1
creator_027,user_027,0,4,4,0.0088,1
creator_028,user_028,0,4,4,0.0088,2
creator_029,user_029,0,4,4,0.0088,1
creator_030,user_030,1,3,4,0.0088,2
creator_031,user_031,0,4,4,0.0088,1
creator_032,user_032,0,4,4,0.0088,1
creator_033,user_033,1,3,4,0.0088,1
creator_034,user_034,0,4,4,0.0088,1
creator_035,user_035,2,2,4,0.0088,3
creator_036,user_036,1,2,3,0.0066,1
creator_037,user_037,1,2,3,0.0066,1
creator_038,user_038,0,3,3,0.0066,1
creator_039,user_039,1,2,3,0.0066,1
creator_040,user_040,0,3,3,0.0066,1
creator_041,user_041,1,2,3,0.0066,2
creator_042,user_042,0,3,3,0.0066,1
creator_043,user_043,0,3,3,0.0066,2
creator_044,user_044,0,3,3,0.0066,1
creator_045,user_045,0,3,3,0.0066,1
creator_046,user_046,0,3,3,0.0066,1
creator_047,user_047,1,2,3,0.0066,2
creator_048,user_048,0,3,3,0.0066,1
creator_049,user_049,0,3,3,0.0066,1
creator_050,user_050,1,2,3,0.0066,2
