date,dau,wau,mau,new_signups,sessions,asks_created,posts_created,likes,comments,follows,new_friends,chat_messages,invites_sent,invite_signups,pictures,feed_views,k_factor,d1_retention,d7_retention,d30_retention,network_nodes,network_edges,network_mutual_pairs,network_isolated,ask_answer_rate_24h,ask_answer_rate_7d,ask_median_response_mins
2026-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,105,489,92,0,,,
2026-03-19,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,21,,,,,105,491,92,0,,,
2026-03-20,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,105,491,92,0,,,
2026-03-21,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,105,491,92,0,,,
2026-03-22,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,22,,,,,105,491,92,0,,,
2026-03-23,4,5,5,0,0,0,0,0,0,2,0,0,0,0,0,7,,,,,105,493,92,0,,,
2026-03-24,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,105,493,92,0,,,
2026-03-25,1,5,5,0,0,0,1,0,0,0,0,0,0,0,0,4,,,,,105,493,92,0,,,
2026-03-26,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,105,493,92,0,,,
2026-03-27,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,105,493,92,0,,,
2026-03-28,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,105,493,92,0,,,
2026-03-29,1,4,5,0,0,0,0,0,0,0,0,0,1,0,0,3,0.0000,,,,105,493,92,0,,,
2026-03-30,6,7,8,1,0,15,16,0,2,0,0,2,5,0,6,155,0.0000,,,,105,490,92,0,,,
2026-03-31,2,7,9,2,0,0,0,0,0,0,0,0,2,0,0,8,0.0000,0.0000,,,105,490,92,2,0.7273,,
2026-04-01,2,8,10,1,0,0,1,0,0,0,0,0,0,0,1,13,,0.5000,,,105,490,92,3,,,
2026-04-02,114,119,121,111,0,16,21,14,4,40,6,5,8,3,71,828,0.0263,0.8889,,,136,525,97,85,,,
2026-04-03,106,185,187,66,0,25,44,21,12,35,3,6,1,0,51,785,0.0000,0.4806,,,154,561,100,134,0.7143,,
2026-04-04,83,231,233,46,0,18,38,16,7,21,2,4,2,1,49,701,0.0120,0.4407,,,166,582,102,165,0.6957,,
2026-04-05,75,254,256,23,0,15,13,8,3,20,2,12,2,2,24,450,0.0267,0.5135,,,179,600,104,175,0.2500,,
2026-04-06,41,261,265,9,0,1,8,4,0,5,1,18,1,0,9,270,0.0000,0.2667,1.0000,,182,605,105,181,0.3846,0.7273,
2026-04-07,35,268,273,8,0,4,8,1,0,9,0,0,0,0,6,200,,0.2222,0.0000,,186,614,105,185,0.0000,,
2026-04-08,30,270,277,4,0,2,9,3,2,7,1,0,0,0,4,132,,0.0000,0.1111,,189,621,106,186,,,
2026-04-09,24,222,281,4,0,1,6,0,1,4,3,0,0,0,0,83,,0.2500,0.0698,,189,625,109,190,0.0000,0.9286,
2026-04-10,19,183,284,3,0,0,1,0,0,1,0,0,0,0,0,50,,0.2500,0.0169,,190,626,109,192,,0.7826,
2026-04-11,27,151,292,8,0,9,2,0,0,5,0,0,0,0,7,124,,0.5714,0.0811,,195,631,109,195,,0.2500,
2026-04-12,22,122,294,2,0,0,2,0,0,0,0,0,0,0,1,91,,0.2500,0.1333,,195,631,109,197,0.0000,0.3846,
2026-04-13,15,109,296,2,0,1,0,1,0,2,0,0,0,0,0,38,,0.3333,0.1111,,196,633,109,198,,0.0000,
2026-04-14,24,101,298,2,0,0,1,0,0,4,0,0,0,0,2,82,,1.0000,0.1667,,198,637,109,199,0.0000,,
2026-04-15,13,90,302,4,0,1,6,4,1,3,0,0,0,0,2,68,,0.7500,0.0000,,200,640,109,200,,0.0000,
