cohort_date,day_offset,channel,cohort_size,retained,rate
2026-03-30,1,organic,1,0,0.0000
2026-03-30,3,organic,1,1,1.0000
2026-03-30,7,organic,1,1,1.0000
2026-03-30,14,organic,1,1,1.0000
2026-03-31,1,organic,1,0,0.0000
2026-03-31,1,invite,1,1,1.0000
2026-03-31,3,organic,1,0,0.0000
2026-03-31,3,invite,1,0,0.0000
2026-03-31,7,invite,1,0,0.0000
2026-03-31,7,organic,1,0,0.0000
2026-03-31,14,organic,1,0,0.0000
2026-03-31,14,invite,1,0,0.0000
2026-04-01,1,invite,9,8,0.8889
2026-04-01,3,invite,9,0,0.0000
2026-04-01,7,invite,9,1,0.1111
2026-04-01,14,invite,9,0,0.0000
2026-04-02,1,invite,123,62,0.5041
2026-04-02,1,firebase,6,0,0.0000
2026-04-02,3,invite,123,26,0.2114
2026-04-02,3,firebase,6,0,0.0000
2026-04-02,7,invite,123,9,0.0732
2026-04-02,7,firebase,6,0,0.0000
2026-04-03,1,firebase,1,0,0.0000
2026-04-03,1,invite,58,26,0.4483
2026-04-03,3,invite,58,4,0.0690
2026-04-03,3,firebase,1,0,0.0000
2026-04-03,7,firebase,1,0,0.0000
2026-04-03,7,invite,58,1,0.0172
2026-04-04,1,invite,36,19,0.5278
2026-04-04,1,firebase,1,0,0.0000
2026-04-04,3,firebase,1,0,0.0000
2026-04-04,3,invite,36,1,0.0278
2026-04-04,7,firebase,1,0,0.0000
2026-04-04,7,invite,36,3,0.0833
2026-04-05,1,invite,15,4,0.2667
2026-04-05,3,invite,15,2,0.1333
2026-04-05,7,invite,15,2,0.1333
2026-04-06,1,invite,9,2,0.2222
2026-04-06,3,invite,9,0,0.0000
2026-04-06,7,invite,9,1,0.1111
2026-04-07,1,invite,6,0,0.0000
2026-04-07,3,invite,6,1,0.1667
2026-04-07,7,invite,6,1,0.1667
2026-04-08,1,firebase,2,0,0.0000
2026-04-08,1,invite,2,1,0.5000
2026-04-08,3,invite,2,0,0.0000
2026-04-08,3,firebase,2,0,0.0000
2026-04-08,7,firebase,2,0,0.0000
2026-04-08,7,invite,2,0,0.0000
2026-04-09,1,invite,4,1,0.2500
2026-04-09,3,invite,4,0,0.0000
2026-04-10,1,firebase,1,0,0.0000
2026-04-10,1,invite,6,4,0.6667
2026-04-10,3,invite,6,0,0.0000
2026-04-10,3,firebase,1,0,0.0000
2026-04-11,1,firebase,2,1,0.5000
2026-04-11,1,invite,2,0,0.0000
2026-04-11,3,firebase,2,1,0.5000
2026-04-11,3,invite,2,0,0.0000
2026-04-12,1,invite,3,1,0.3333
2026-04-12,3,invite,3,0,0.0000
2026-04-13,1,invite,2,2,1.0000
2026-04-14,1,invite,3,2,0.6667
2026-04-14,1,firebase,1,1,1.0000
